simulation,frame,subframe,slot,sym1,sym2,sym3,sym4,sym5,sym6,sym7,sym8,sym9,sym10,sym11,sym12
1,40,3,0,3,1,3,2,3,3,2,3,3,1,2,3
1,40,4,0,3,3,3,2,3,3,2,3,3,1,2,3
1,40,5,0,2,3,3,2,3,3,2,3,3,1,2,3
1,40,6,0,3,1,3,3,3,2,3,3,3,2,1,3
1,40,7,0,3,2,3,3,3,3,2,3,1,3,2,3
1,40,8,0,2,3,3,3,3,2,3,3,1,3,2,3
1,40,9,0,3,2,3,3,3,2,3,3,3,1,2,3
1,41,0,0,2,3,3,3,2,3,3,3,3,2,1,3
1,41,1,0,1,3,3,2,3,3,3,3,3,2,1,3
1,41,2,0,2,3,3,3,3,2,3,3,1,3,2,3
1,41,3,0,3,3,2,3,3,3,3,3,3,3,2,3
1,41,4,0,3,3,3,3,2,3,3,3,3,2,1,3
1,41,5,0,2,3,3,3,3,2,3,3,3,2,1,3
1,41,6,0,3,3,3,3,2,3,3,3,3,2,1,3
1,41,7,0,2,3,3,3,3,2,3,3,3,2,1,3
1,41,8,0,3,3,3,3,2,3,3,3,3,3,1,3
1,41,9,0,3,3,2,3,3,3,3,3,1,3,2,3
1,42,0,0,3,3,3,2,3,3,3,3,1,3,2,3
1,42,1,0,3,3,3,3,2,3,3,3,1,3,2,3
1,42,2,0,3,2,3,3,3,2,3,1,3,3,2,3
1,42,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,42,4,0,3,3,2,3,3,3,3,3,3,3,2,3
1,42,5,0,3,3,2,3,3,3,3,3,3,2,1,3
1,42,6,0,3,3,3,2,3,3,3,3,3,1,2,3
1,42,7,0,3,3,3,2,3,3,3,3,3,1,2,3
1,42,8,0,3,3,3,2,3,3,3,3,1,3,2,3
1,42,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,43,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,43,1,0,3,3,2,3,3,3,3,3,3,3,2,3
1,43,2,0,2,3,3,3,3,3,3,3,3,2,1,3
1,43,3,0,3,3,3,3,3,3,3,3,3,1,2,3
1,43,4,0,3,3,3,3,2,3,3,1,3,3,2,3
1,43,5,0,3,3,3,2,3,3,3,3,3,2,3,0
1,43,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,43,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,43,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,43,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,44,0,0,3,3,3,3,3,3,3,3,3,1,2,3
1,44,1,0,3,3,3,2,3,3,3,3,3,3,2,3
1,44,2,0,3,3,3,3,3,3,3,3,3,2,1,3
1,44,3,0,3,3,3,2,3,3,3,3,3,1,2,3
1,44,4,0,3,2,3,3,3,3,3,3,3,3,2,3
1,44,5,0,3,3,3,3,3,3,3,3,3,2,1,3
1,44,6,0,3,3,2,3,3,3,3,3,1,3,2,3
1,44,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,44,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,44,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,45,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,45,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,45,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,45,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,45,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,45,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,45,6,0,3,3,3,3,3,3,3,3,3,3,2,3
1,45,7,0,3,3,3,3,3,1,3,3,3,3,2,3
1,45,8,0,3,3,3,3,3,3,3,3,3,3,2,3
1,45,9,0,3,3,3,3,3,1,3,3,3,3,2,3
1,46,0,0,2,3,3,3,3,3,3,3,3,3,2,3
1,46,1,0,3,3,1,3,3,3,3,3,3,2,3,0
1,46,2,0,3,3,3,3,3,3,3,3,3,2,3,0
1,46,3,0,3,3,3,3,3,3,3,3,3,3,2,3
1,46,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,46,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,46,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,46,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,46,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,46,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,47,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,47,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,47,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,47,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,47,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,47,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,47,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,47,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,47,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,47,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,48,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,48,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,48,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,48,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,48,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,48,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,48,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,48,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,48,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,48,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,49,0,0,3,3,3,3,3,3,3,2,3,3,1,3
1,49,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,49,2,0,3,3,3,3,3,3,3,3,3,3,2,3
1,49,3,0,3,1,3,3,3,3,3,3,3,3,2,3
1,49,4,0,3,3,3,3,3,3,3,3,3,3,2,3
1,49,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,49,6,0,3,3,3,3,3,3,3,3,3,3,2,3
1,49,7,0,3,3,3,3,3,3,3,3,2,3,1,3
1,49,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,49,9,0,3,3,3,3,3,3,3,3,3,3,2,3
1,50,0,0,3,3,3,3,3,3,1,3,3,3,2,3
1,50,1,0,3,3,3,3,3,3,3,3,3,3,2,3
1,50,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,50,3,0,3,3,3,3,3,3,3,3,3,3,2,3
1,50,4,0,3,3,3,3,3,3,3,3,2,3,1,3
1,50,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,50,6,0,3,3,3,3,3,3,3,3,3,3,2,3
1,50,7,0,3,3,3,3,3,3,3,1,3,3,2,3
1,50,8,0,3,3,3,3,3,3,3,3,3,3,2,3
1,50,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,51,0,0,3,3,3,3,3,3,3,3,3,3,2,3
1,51,1,0,3,3,3,3,3,3,3,3,2,3,1,3
1,51,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,51,3,0,3,3,3,3,3,3,3,3,3,3,2,3
1,51,4,0,3,3,3,3,3,3,3,3,1,3,2,3
1,51,5,0,3,3,3,3,3,3,3,3,3,2,3,0
1,51,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,51,7,0,3,3,3,3,3,3,3,3,3,3,3,3
1,51,8,0,3,3,3,3,3,3,3,3,3,3,3,3
1,51,9,0,3,3,3,3,3,3,3,3,3,3,3,3
1,52,0,0,3,3,3,3,3,3,3,3,3,3,3,3
1,52,1,0,3,3,3,3,3,3,3,3,3,3,3,3
1,52,2,0,3,3,3,3,3,3,3,3,3,3,3,3
1,52,3,0,3,3,3,3,3,3,3,3,3,3,3,3
1,52,4,0,3,3,3,3,3,3,3,3,3,3,3,3
1,52,5,0,3,3,3,3,3,3,3,3,3,3,3,3
1,52,6,0,3,3,3,3,3,3,3,3,3,3,3,3
1,52,7,0,3,3,3,3,3,3,3,3,3,3,3,3
